RANDOM SEQUENCES
n,lengthS,lengthT,MinCost
458,1035,1470,751;
459,1035,7142,6107;
460,1035,1408,716;
461,1035,5000,3965;
462,1035,8333,7298;
463,1035,1000,538;
464,1035,1369,674;
465,1035,1333,665;
466,1035,1333,675;
467,1035,11111,10076;
468,1035,1923,1080;
469,1035,2702,1744;
470,1035,1470,747;
471,1035,1298,641;
472,1035,12500,11465;
473,1035,1204,601;
474,1035,5000,3965;
475,1035,1785,968;
476,1035,5263,4228;
477,1035,14285,13250;
478,1035,1111,561;
479,1035,1000,544;
480,1035,4761,3726;
481,1035,4761,3726;
482,1035,1333,663;
483,1035,3333,2320;
484,1035,1470,733;
485,1035,7142,6107;
486,1035,2083,1199;
487,1035,1111,568;
488,1035,1923,1079;
489,1035,1315,650;
490,1035,9090,8055;
491,1035,4166,3131;
492,1035,7142,6107;
493,1035,4347,3312;
494,1035,1000,536;
495,1035,3225,2218;
496,1035,1639,852;
497,1035,9090,8055;
498,1035,7692,6657;
499,1035,1886,1044;
500,1035,1612,849;
501,1035,1428,719;
502,1035,2941,1955;
503,1035,1111,569;
504,1035,1408,720;
505,1035,1851,1022;
506,1035,2000,1148;
507,1035,4545,3510;
508,1035,16666,15631;
509,1035,1176,598;
510,1035,5882,4847;
511,1035,5555,4520;
512,1035,3333,2314;
513,1035,1851,1021;
514,1035,1250,631;
515,1035,4761,3726;
516,1035,1694,908;
517,1035,1408,700;
518,1035,2325,1404;
519,1035,4761,3726;
520,1035,3125,2130;
521,1035,1020,540;
522,1035,4347,3312;
523,1035,1923,1079;
524,1035,2777,1804;
525,1035,1785,970;
526,1035,12500,11465;
527,1035,1960,1097;
528,1035,1960,1105;
529,1035,1298,648;
530,1035,1818,997;
531,1035,1449,724;
532,1035,2272,1359;
533,1035,1136,577;
534,1035,4545,3510;
535,1035,1052,556;
536,1035,1587,831;
537,1035,2040,1158;
538,1035,1052,552;
539,1035,4000,2967;
540,1035,100000,98965;
541,1035,7692,6657;
542,1035,11111,10076;
543,1035,1176,593;
544,1035,10000,8965;
545,1035,10000,8965;
546,1035,5555,4520;
547,1035,2380,1460;
548,1035,33333,32298;
549,1035,2500,1551;
550,1035,5882,4847;
551,1035,8333,7298;
552,1035,1298,649;
553,1035,2777,1813;
554,1035,1298,653;
555,1035,2702,1743;
556,1035,1333,677;
557,1035,3703,2677;
558,1035,1851,1019;
559,1035,5000,3965;
560,1035,1098,568;
561,1035,1785,964;
562,1035,2439,1512;
563,1035,1562,817;
564,1035,1851,1028;
565,1035,2000,1145;
566,1035,6250,5215;
567,1035,25000,23965;
568,1035,1851,1017;
569,1035,1492,771;
570,1035,16666,15631;
571,1035,100000,98965;
572,1035,1030,537;
573,1035,2777,1801;
574,1035,25000,23965;
575,1035,1250,630;
576,1035,1428,723;
577,1035,1250,616;
578,1035,1176,591;
579,1035,3448,2423;
580,1035,1388,705;
